Season,Squad,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes
2022,France,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
2018,France,1. FIFA World Cup,1st,7,6,1,0,14,6,8,19,"Antoine Griezmann, Kylian Mbappé - 4",Hugo Lloris,
2014,France,1. FIFA World Cup,QF,5,3,1,1,10,3,7,10,Karim Benzema - 3,Hugo Lloris,
2010,France,1. FIFA World Cup,GR,3,0,1,2,1,4,-3,1,Florent Malouda - 1,Hugo Lloris,
2006,France,1. FIFA World Cup,2nd,7,4,3,0,9,3,6,15,"Thierry Henry, Zinédine Zidane - 3",Fabien Barthez,
2002,France,1. FIFA World Cup,GR,3,0,1,2,0,3,-3,1,,Fabien Barthez,
1998,France,1. FIFA World Cup,1st,7,6,1,0,15,2,13,19,Thierry Henry - 3,Fabien Barthez,
1986,France,1. FIFA World Cup,3rd,7,4,2,1,12,6,6,10,"Yannick Stopyra, Michel Platini... - 2",Joël Bats,
1982,France,1. FIFA World Cup,4th,7,3,2,2,16,12,4,8,Alain Giresse - 3,Jean-Luc Ettori,
1978,France,1. FIFA World Cup,1R,3,1,0,2,5,5,0,2,"Dominique Rocheteau, Bernard Lacombe... - 1",Jean-Paul Bertrand-Demanes,
1966,France,1. FIFA World Cup,GR,3,0,1,2,2,5,-3,1,"Héctor De Bourgoing, Gérard Hausser - 1",Marcel Aubour,
1958,France,1. FIFA World Cup,3rd,6,4,0,2,23,15,8,8,Just Fontaine - 13,Claude Abbes,
1954,France,1. FIFA World Cup,GR,2,1,0,1,3,3,0,2,"Jean Vincent, Raymond Kopa - 1",François Remetter,
1950,France,1. FIFA World Cup,GR,0,0,0,0,0,0,0,0,,,
1938,France,1. FIFA World Cup,QF,2,1,0,1,4,4,0,2,Jean Nicolas - 2,Laurent Di Lorto,
1934,France,1. FIFA World Cup,R16,1,0,0,1,2,3,-1,0,"Georges Verriest, Jean Nicolas - 1",Alex Thépot,
1930,France,1. FIFA World Cup,GR,3,1,0,2,4,3,1,2,André Maschinot - 2,Alex Thépot,
